ID;Name;wurde-getauscht;TEAM;POS;Alter;Spiele gespielt;Minuten pro Spiel;FTA;FT_PCT;TwoPA;TwoP%;ThreePA;ThreeP%;EFG%;TS%;Grösse in Inches;Grösse in cm
423;Marcus Morris;FALSE;Bos;F;29.61;75;27.9;173;0.844;455;50.80%;389;37.50%;53.30%;56.80%;81;205.74
424;Markieff Morris;TRUE;Was;F;29.61;34;26;73;0.781;184;51.60%;144;33.30%;50.90%;54.30%;82;208.28
425;Markieff Morris;TRUE;Okc;F;29.61;24;16.1;19;0.737;97;42.30%;59;33.90%;45.50%;47.50%;82;208.28
426;Monte Morris;FALSE;Den;G;23.79;82;24;81;0.802;475;53.10%;227;41.40%;56.00%;57.70%;75;190.5
427;Donatas Motiejunas;FALSE;San;F-C;28.56;3;4.3;2;0;6;50.00%;0;0.00%;50.00%;43.60%;84;213.36
428;Johnathan Motley;FALSE;Lac;F;23.94;22;7.1;40;0.6;70;55.70%;3;0.00%;53.40%;56.30%;82;208.28
429;Emmanuel Mudiay;FALSE;Nyk;G;23.1;59;27.2;186;0.774;531;49.20%;209;33.00%;49.30%;53.10%;77;195.58
430;Jamal Murray;FALSE;Den;G;22.13;75;32.6;223;0.848;759;47.60%;414;36.70%;50.20%;53.80%;76;193.04
431;Dzanan Musa;FALSE;Bro;G-F;19.93;9;4.4;2;0;12;66.70%;10;10.00%;43.20%;41.50%;81;205.74
432;Mike Muscala;TRUE;Phi;F-C;27.78;47;22.2;77;0.818;79;51.90%;199;34.20%;51.40%;56.00%;83;210.82
433;Mike Muscala;TRUE;Lal;F-C;27.78;17;15.6;8;0.875;26;57.70%;57;36.80%;56.00%;57.80%;83;210.82
434;Svi Mykhailiuk;TRUE;Lal;F;21.84;39;10.8;20;0.6;46;37.00%;85;31.80%;43.90%;45.40%;80;203.2
435;Svi Mykhailiuk;TRUE;Det;G;21.84;3;6.6;0;0;4;0.00%;4;50.00%;37.50%;37.50%;80;203.2
436;Abdel Nader;FALSE;Okc;F;25.54;61;11.4;36;0.75;115;51.30%;100;32.00%;49.80%;52.20%;78;198.12
437;Larry Nance Jr.;FALSE;Cle;F;26.27;67;26.8;134;0.716;381;56.70%;98;33.70%;55.40%;58.30%;81;205.74
438;Shabazz Napier;FALSE;Bro;G;27.74;56;17.6;138;0.833;207;44.90%;228;33.30%;47.60%;53.40%;73;185.42
439;Nene Nene;FALSE;Hou;C-F;36.58;42;13;47;0.66;113;53.10%;3;0.00%;51.70%;55.20%;83;210.82
440;Raul Neto;FALSE;Uta;G;26.89;37;12.8;33;0.848;101;53.50%;60;33.30%;52.20%;55.80%;73;185.42
