ID;Name;wurde-getauscht;TEAM;POS;Alter;Spiele gespielt;Minuten pro Spiel;FTA;FT_PCT;TwoPA;TwoP%;ThreePA;ThreeP%;EFG%;TS%;Grösse in Inches;Grösse in cm
544;Omari Spellman;FALSE;Atl;F;21.72;46;17.5;45;0.711;116;46.60%;128;34.40%;49.20%;51.60%;81;205.74
545;Nik Stauskas;TRUE;Por;G;25.51;44;15.3;36;0.889;104;51.00%;125;34.40%;51.30%;54.50%;78;198.12
546;Nik Stauskas;TRUE;Cle;G;25.51;24;14.3;28;0.893;46;28.30%;63;42.90%;49.10%;54.40%;78;198.12
547;DJ Stephens;FALSE;Mem;G-F;28.31;1;6.7;0;0;2;50.00%;0;0.00%;50.00%;50.00%;77;195.58
548;Lance Stephenson;FALSE;Lal;G;28.6;68;16.5;73;0.685;235;47.20%;197;37.10%;51.00%;52.90%;78;198.12
549;Edmond Sumner;FALSE;Ind;G;23.28;23;9.1;24;0.625;37;40.50%;27;25.90%;39.80%;44.30%;78;198.12
550;Caleb Swanigan;TRUE;Por;F;21.98;18;8.1;7;0.857;39;33.30%;5;20.00%;33.00%;37.20%;81;205.74
551;Caleb Swanigan;TRUE;Sac;F;21.98;3;11;2;0;7;57.10%;2;0.00%;44.40%;40.50%;81;205.74
552;Jayson Tatum;FALSE;Bos;F;21.11;79;31.1;226;0.854;725;48.30%;311;37.30%;50.60%;54.60%;80;203.2
553;Jeff Teague;FALSE;Min;G;30.83;42;30.1;153;0.804;311;45.30%;105;33.30%;46.50%;52.80%;74;187.96
554;Garrett Temple;TRUE;Mem;G-F;32.93;49;31.2;76;0.75;177;52.00%;210;35.20%;52.50%;55.10%;78;198.12
555;Garrett Temple;TRUE;Lac;G-F;32.93;26;19.6;31;0.742;51;51.00%;54;29.60%;47.60%;51.80%;78;198.12
556;Milos Teodosic;FALSE;Lac;G;32.06;15;10;7;0.571;13;53.80%;27;37.00%;55.00%;55.70%;77;195.58
557;Jared Terrell;FALSE;Min;G;24.16;14;7.9;6;0.5;21;38.10%;17;23.50%;36.80%;38.10%;75;190.5
558;Emanuel Terry;TRUE;Pho;F;23.64;2;9.8;2;0.5;6;66.70%;0;0.00%;66.70%;65.40%;79;200.66
559;Emanuel Terry;TRUE;Mia;F;23.64;1;3.3;2;0.5;1;0.00%;0;0.00%;0.00%;26.60%;79;200.66
