Titel;playstation?;xbox?;nintendo?;pc?;sonstige?;Punkte;Genre;editors_choice;Veröffentlichung_Jahr;Veröffentlichung_Monat
Pillars of Eternity II: Deadfire;FALSE;FALSE;FALSE;TRUE;TRUE;8.5;RPG;N;2018;5
Pit People;FALSE;TRUE;FALSE;TRUE;FALSE;7.8;Action-RPG;N;2018;3
PlayerUnknown's Battlegrounds (Mobile);FALSE;FALSE;FALSE;FALSE;TRUE;8.7;Survival;N;2018;3
Pokemon Quest;FALSE;FALSE;TRUE;FALSE;TRUE;6;Action-Adventure;N;2018;6
Pokemon: Let's Go, Eevee!;FALSE;FALSE;TRUE;FALSE;FALSE;8.3;RPG;N;2018;11
Pokemon: Let's Go, Pikachu!;FALSE;FALSE;TRUE;FALSE;FALSE;8.3;RPG;N;2018;11
Post Scriptum;FALSE;FALSE;FALSE;TRUE;FALSE;6;Shooter;N;2018;9
PUBG (Xbox One);FALSE;TRUE;FALSE;FALSE;FALSE;8.9;Survival;N;2018;9
Realm Royale;TRUE;TRUE;FALSE;TRUE;FALSE;7.8;Survival;N;2018;7
Red Dead Redemption 2;TRUE;TRUE;FALSE;FALSE;FALSE;10;Action-Adventure;Y;2018;10
Red Faction: Guerrilla Re-Mars-tered;TRUE;TRUE;FALSE;TRUE;FALSE;8;Shooter;N;2018;7
Return of the Obra Dinn;FALSE;FALSE;FALSE;TRUE;TRUE;9.2;Puzzle;Y;2018;10
Ring of Elysium;FALSE;FALSE;FALSE;TRUE;FALSE;8.5;Survival;N;2018;12
Runner3;TRUE;FALSE;TRUE;TRUE;TRUE;7;Platformer;N;2018;5
Rust;FALSE;FALSE;FALSE;TRUE;TRUE;7;Survival;N;2018;2
Sea of Thieves;FALSE;TRUE;FALSE;TRUE;FALSE;7;Action-Adventure;N;2018;3
Secret of Mana HD;TRUE;FALSE;FALSE;TRUE;FALSE;7.4;Action-RPG;N;2018;2
SEGA Genesis Classics;TRUE;TRUE;TRUE;FALSE;FALSE;7.8;Action;N;2018;5
Shadow of the Colossus;TRUE;FALSE;FALSE;FALSE;FALSE;9.7;Action-Adventure;Y;2018;2
Shadow of the Tomb Raider;TRUE;TRUE;FALSE;TRUE;FALSE;9;Action-Adventure;Y;2018;9
Shadow of War: Blade of Galadriel DLC;TRUE;TRUE;FALSE;TRUE;FALSE;6.8;Action-RPG;N;2018;2
Shadow of War: The Desolation of Mordor DLC;FALSE;FALSE;FALSE;TRUE;FALSE;7.5;Fighting;N;2018;5
Sid Meier's Civilization VI (Switch);FALSE;FALSE;TRUE;FALSE;FALSE;9.4;Strategy;Y;2018;11
Sinner: Sacrifice for Redemption;TRUE;TRUE;TRUE;TRUE;TRUE;6.3;Action-RPG;N;2018;10
SNK 40th Anniversary Collection;TRUE;FALSE;TRUE;FALSE;FALSE;7;Arcade;N;2018;11
Sonic Mania Plus/Encore DLC;TRUE;TRUE;TRUE;TRUE;FALSE;7;Platformer;N;2018;7
Soulcalibur 6;TRUE;TRUE;FALSE;TRUE;FALSE;8.9;Fighting;N;2018;10
Space Hulk: Tactics;TRUE;TRUE;FALSE;TRUE;FALSE;7.5;Strategy;N;2018;10
Splatoon 2: Octo Expansion DLC;FALSE;FALSE;TRUE;FALSE;FALSE;8.8;Shooter;N;2018;6
Spyro Reignited Trilogy;TRUE;TRUE;FALSE;FALSE;FALSE;8.5;Platformer;Y;2018;11
Star Control: Origins;TRUE;TRUE;FALSE;TRUE;FALSE;6.9;Action-Adventure;N;2018;9
Stardew Valley;TRUE;TRUE;TRUE;TRUE;FALSE;9.5;Simulator;Y;2018;8
Starlink: Battle for Atlas;TRUE;TRUE;TRUE;FALSE;FALSE;7;Action-Adventure;N;2018;10
State of Decay 2;FALSE;TRUE;FALSE;TRUE;FALSE;7.5;Survival;N;2018;5
Strange Brigade;TRUE;TRUE;FALSE;TRUE;FALSE;7.5;Shooter;N;2018;8
Street Fighter V: Arcade Edition;TRUE;FALSE;FALSE;TRUE;FALSE;9;Fighting;Y;2018;1
Subnautica;TRUE;TRUE;FALSE;TRUE;TRUE;9.1;Survival;N;2018;1
Super Mario Party;FALSE;FALSE;TRUE;FALSE;FALSE;7.3;Party;N;2018;10
Super Mega Baseball 2;FALSE;TRUE;FALSE;FALSE;FALSE;7.8;Sports;N;2018;5
Super Smash Bros. Ultimate;FALSE;FALSE;TRUE;FALSE;FALSE;9.4;Fighting;Y;2018;12
Surviving Mars;TRUE;TRUE;FALSE;TRUE;TRUE;7.8;Simulator;N;2018;3
Sword Art Online: Fatal Bullet;TRUE;TRUE;TRUE;TRUE;FALSE;5.9;Action-RPG;N;2018;2
Tetris Effect;TRUE;FALSE;FALSE;FALSE;FALSE;8.5;Puzzle;N;2018;11
The Awesome Adventures of Captain Spirit;TRUE;TRUE;FALSE;TRUE;FALSE;7;Adventure;N;2018;6
The Banner Saga 3;TRUE;TRUE;TRUE;TRUE;TRUE;8.3;RPG;N;2018;7
The Bard's Tale 4: Barrows Deep;FALSE;FALSE;FALSE;TRUE;FALSE;7.9;RPG;N;2018;9
The Crew 2;TRUE;TRUE;FALSE;TRUE;FALSE;7;Racing;N;2018;6
The Culling 2;TRUE;TRUE;FALSE;TRUE;FALSE;2;Survival;N;2018;7
The Elder Scrolls Online: Summerset;TRUE;TRUE;FALSE;TRUE;FALSE;8;RPG;N;2018;6
The Forest;TRUE;FALSE;FALSE;TRUE;FALSE;8.4;Survival;N;2018;4
The Messenger;FALSE;FALSE;TRUE;TRUE;FALSE;8;Platformer;N;2018;8
The Missing: J.J. Macfield and the Island of Memories;TRUE;TRUE;TRUE;TRUE;FALSE;8;Puzzle;N;2018;10
The Quiet Man;TRUE;FALSE;FALSE;TRUE;FALSE;5.5;Action-Adventure;N;2018;11
The Walking Dead: The Final Season - Episode 1;TRUE;TRUE;TRUE;TRUE;FALSE;6.5;Adventure;N;2018;8
The Walking Dead: The Final Season - Episode 2;TRUE;TRUE;TRUE;TRUE;FALSE;5;Adventure;N;2018;9
The World Ends With You: Final Remix;FALSE;FALSE;TRUE;FALSE;FALSE;7.8;Action-RPG;N;2018;10
Thronebreaker: The Witcher Tales;TRUE;TRUE;FALSE;TRUE;FALSE;9.4;Strategy;Y;2018;10
Total War Saga: Thrones of Britannia;FALSE;FALSE;FALSE;TRUE;TRUE;7.7;Strategy;N;2018;5
Two Point Hospital;FALSE;FALSE;FALSE;TRUE;FALSE;8.4;Simulation;N;2018;9
Undertale;TRUE;FALSE;TRUE;TRUE;TRUE;10;RPG;Y;2018;9
Underworld Ascendant;TRUE;TRUE;TRUE;TRUE;FALSE;3;Action-RPG;N;2018;11
Unravel Two;TRUE;TRUE;FALSE;TRUE;FALSE;8.5;Puzzle;N;2018;6
Valkyria Chronicles 4;TRUE;TRUE;TRUE;TRUE;FALSE;8.7;Action-RPG;N;2018;9
Vampyr;TRUE;TRUE;TRUE;TRUE;FALSE;7;Action-RPG;N;2018;6
Warframe;TRUE;TRUE;TRUE;TRUE;FALSE;8.6;Shooter;Y;2018;11
Warhammer 40000: Gladius - Relics of War;FALSE;FALSE;FALSE;TRUE;FALSE;7.9;Action-RPG;N;2018;7
Warhammer 40K: Inquisitor - Martyr;TRUE;TRUE;FALSE;TRUE;FALSE;6;Action-RPG;N;2018;6
Warhammer Vermintide 2;TRUE;TRUE;FALSE;TRUE;FALSE;8;Action;N;2018;3
WarioWare Gold;FALSE;FALSE;TRUE;FALSE;FALSE;7;Action;N;2018;7
We Happy Few;TRUE;TRUE;FALSE;TRUE;FALSE;7.3;Action-Adventure;N;2018;8
World of Warcraft: Battle for Azeroth;FALSE;FALSE;FALSE;TRUE;FALSE;8;RPG;N;2018;8
WWE 2K19;TRUE;TRUE;FALSE;TRUE;FALSE;7.3;Sports;N;2018;10
Yakuza 6: The Song of Life;TRUE;FALSE;FALSE;FALSE;FALSE;7.5;Action-Adventure;N;2018;4
Yakuza Kiwami 2;TRUE;FALSE;FALSE;FALSE;FALSE;8;Action-Adventure;N;2018;8
Yoku's Island Express;TRUE;TRUE;TRUE;TRUE;FALSE;8;Platformer;N;2018;5
1-2-Switch;FALSE;FALSE;TRUE;FALSE;FALSE;6.8;Party;N;2017;3
A Hat in Time;TRUE;TRUE;FALSE;FALSE;FALSE;8;Platformer;N;2017;10
Absolver;TRUE;FALSE;FALSE;TRUE;FALSE;7.6;Action-RPG;N;2017;7
Agents of Mayhem;TRUE;TRUE;FALSE;TRUE;FALSE;7.1;Action-Adventure;N;2017;8
Animal Crossing: Pocket Camp;FALSE;FALSE;FALSE;FALSE;TRUE;8;Simulator;N;2017;11
ARK: Survival Evolved;TRUE;TRUE;FALSE;TRUE;TRUE;7.7;Action-Adventure;N;2017;8
Arms;FALSE;FALSE;TRUE;FALSE;FALSE;8;Fighting;N;2017;6
Assassin's Creed: Origins;TRUE;TRUE;FALSE;TRUE;FALSE;9;Action-Adventure;Y;2017;10
Batman: The Enemy Within - Episode 1;TRUE;TRUE;FALSE;TRUE;TRUE;8.2;Adventure;N;2017;8
Batman: The Enemy Within - Episode 2;TRUE;TRUE;FALSE;TRUE;TRUE;5;Adventure;N;2017;10
Batman: The Enemy Within - Episode 3;TRUE;TRUE;FALSE;TRUE;TRUE;7;Adventure;N;2017;11
Battle Chasers: Nightwar;TRUE;TRUE;FALSE;TRUE;FALSE;8;RPG;N;2017;10
Battle Chef Brigade;TRUE;FALSE;TRUE;TRUE;FALSE;8;Puzzle;N;2017;11
Battlestar Galactica: Deadlock;TRUE;TRUE;FALSE;TRUE;FALSE;7.8;Strategy;N;2017;8
Berserk and the Band of the Hawk;TRUE;FALSE;FALSE;TRUE;FALSE;6.3;Action-RPG;N;2017;2
Black: The Fall;TRUE;TRUE;TRUE;TRUE;TRUE;6.5;Puzzle;N;2017;7
Blaster Master Zero;FALSE;FALSE;TRUE;FALSE;FALSE;7;Action;N;2017;3
Bomber Crew;TRUE;TRUE;FALSE;TRUE;TRUE;8.5;Simulator;N;2017;10
Bridge Constructor Portal;TRUE;TRUE;TRUE;TRUE;TRUE;8;Puzzle;N;2017;12
